id,FalseSent,ref1,ref2,ref3
0,لقد سكب عصير البرتقال على حبوبه.,عصير البرتقال ليس مذاقًا جيدًا مع الحبوب.,يُسكب عصير البرتقال في كوب.,عصير البرتقال لا طعم له مع الحبوب.
1,يشرب التفاح.,التفاح لا يمكن أن يكون في حالة سكر,التفاحة هي طعام كامل ولا يمكن شربها دون عصرها.,يأكل تفاحة
2,ركض جيف 100،000 ميل اليوم,100000 ميل هي وسيلة طويلة لشخص واحد حتى يتمكن من الجري في يوم واحد.,هذا ليس ممكنا جسديا لتحقيقه,لا يمكن لأي شخص أن يركض 100،000 ميل في اليوم
3,أنا ألسع بعوضة,الإنسان ليس لديه لسعات,ليس لدي لاذع.,البعوض يلدغ الناس ، وليس العكس
4,الزرافة إنسان.,الزرافة ليست بشرا.,الزرافة حيوان وليس بشري.,الزرافة حيوان.
5,الخزانة العادية أكبر من خزانة الملابس الكبيرة.,لا يمكن لأي شخص أن يمشي في خزانة عادية لأنها أصغر من خزانة ملابس.,خزانة الملابس أكبر من الخزانة العادية.,المشي في الخزانة أكبر.
6,أحب ركوب شوكولاتي,الشوكولاتة غذاء وليست وحدة نقل,أنت تأكل الشوكولاتة ولا تركبها,غير قادر على ركوب الشوكولاته
7,فتاة فازت بالسباق مع حصان,ركض الحصان أسرع منه,الشخص بطيء جدًا في سباق الخيل.,الحصان أسرع بكثير من الإنسان.
8,وضع الفيل في الابريق,الابريق صغير جدا من الفيل,لن يتسع الفيل في إبريق - فهي كبيرة جدًا,سوف ينكسر الإبريق تحت الوزن.
9,كلب يلعب الكرة الطائرة,فقط البشر يلعبون الكرة الطائرة,لا تلعب الكلاب عادة الكرة الطائرة.,فقط الناس يمكنهم لعب الكرة الطائرة.
10,يأكل البيض الأطفال في عيد الفصح.,لا بيض يأكل الاطفال.,البيض لا يأكل أي شيء في أي وقت,يأكل الأطفال البيض في عيد الفصح.
11,شرب مارك دفتر ملاحظات.,الكمبيوتر المحمول هو مادة صلبة وبحكم التعريف لا يمكن لأي شخص أن يشرب إلا سائلًا.,لا يمكنك شرب الورق.,دفتر الملاحظات كائن ليس مشروبًا لذا لا يمكن شربه
12,ذهب إلى مركز الشرطة لسحب النقود.,مركز الشرطة هو مكان لتقديم الشكاوى الجنائية.,لا يمكنك الحصول على نقود من مركز الشرطة.,النقد غير متوفر في مركز الشرطة
13,يمكن للموظف تسعير البضائع,يمكن للمالك فقط تسعير البضائع,ليس من المعتاد أن يعطى الموظف هذا المستوى من المسؤولية,لا يملك الموظف سلطة تسعير البضائع
14,تلبس قبعة في يدها,قبعة تلبس عادة على الرأس,قبعة لا تلبس على اليدين.,القبعات لرأسك.
15,ابن عمي يرمي المنزل لأخي.,المنزل أكبر من أن يرمي.,لا يمكنك رمي منزل.,المنزل أكبر من أن يرمي.
16,براعم الورود تأكل اليرقات,اليرقات لها أفواه بينما براعم الورد لا تفعل ذلك,براعم الورد نباتات ولا يمكنها أكل الحيوانات.,النباتات لا تأكل الحشرات
17,عزفت ليزا موسيقى الجاز لموسى في العهد القديم أمس.,مات موسى لفترة طويلة ولم يكن من الممكن أن يسمع حفلة موسيقية بالأمس.,موسى ليس حيا.,موسى ليس حيا.
18,تعطل الكمبيوتر وأصلحه الطبيب,لا يصلح الطبيب أجهزة الكمبيوتر,الأطباء يصلحون الناس وليس أجهزة الكمبيوتر.,الأطباء يصلحون الناس وليس أجهزة الكمبيوتر
19,شربت المبيض.,يستخدم المبيض للتنظيف.,عادة لا يشرب الناس مادة التبييض ، وبالتأكيد لا ينصح بذلك,سوف يقتلك التبييض إذا شربته
20,عادة ما أرتدي حذاء على رأسي,يمكن ارتداء الحذاء بالقدم فقط,يتم ارتداء الأحذية على القدمين.,الأحذية للأقدام لا للرؤوس
21,وضع أخي المفاعل النووي داخل الصندوق.,المفاعل النووي كبير جدًا بحيث لا يمكن وضعه في صندوق.,لا يمكن لأي شخص التقاط مفاعل نووي.,المفاعل النووي كبير جدًا بحيث لا يمكن وضعه في صندوق.
22,أخذت الكرسي في نزهة على الأقدام,الكراسي لا تستطيع المشي,كرسي لا يستخدم للمشي. إنها تخلق حالة غير مريحة.,كرسي ليس حيا.
