id,sent0,sent1,label
0,سكب عصير ال+ برتقال على حبوب +ه .,سكب ال+ حليب على حبوب +ه .,0
1,هو يشرب ال+ تفاح .,هو يشرب ال+ حليب .,0
2,ركض جيف ميل +ا ال+ يوم,ركض جيف 100000 ميل ال+ يوم,1
3,ال+ بعوض +ة تلدغني,أنا ألدغ ب+ عوض +ة,1
4,ابن +ة ال+ أخت شخص .,ال+ زراف +ة شخص .,1
5,خزان +ة ال+ ملابس أكبر من ال+ خزان +ة ال+ عادي +ة .,ال+ خزان +ة ال+ عادي +ة أكبر من خزان +ة ال+ ملابس .,1
6,أحب ركوب ال+ شوكولات +ة,أنا أحب أن أركب دراج +ت +ي,0
7,فتا +ة فاز +ت ب+ ال+ سباق مع صديق +ها,فتا +ة فاز +ت ب+ ال+ سباق مع ال+ حصان,1
8,وضع ال+ فيل في ال+ إبريق,يصب ال+ ماء في ال+ إبريق,0
9,فتا +ة تلعب ال+ كر +ة ال+ طائر +ة,كلب يلعب ال+ كر +ة ال+ طائر +ة,1
10,ال+ بيض يأكل ال+ قبل +ات في عيد ال+ فصح .,يجد ال+ أطفال ال+ بيض في عيد ال+ فصح .,0
11,شرب مارك دفتر ملاحظ +ات .,شرب مارك ال+ ماء .,0
12,ذهب إلى مركز ال+ شرط +ة ل+ سحب ال+ نقود .,ذهب إلى ال+ بنك ل+ سحب ال+ نقود .,0
13,يمكن ل+ ال+ مالك تسعير ال+ بضائع,يمكن ل+ ال+ موظف تسعير ال+ بضائع,1
14,ترتدي أساور في ال+ يد,ترتدي قبع +ة في ال+ يد,1
15,ابن عمي يرمي كر +ة ال+ ثلج ل+ أخي .,رمي ابن عمي ال+ منزل ل+ أخي .,1
16,ال+ يرق +ة تأكل برعم ال+ ورد,براعم ال+ ورود تأكل ال+ يرق +ات,1
17,لعب +ت ليز +ا موسيقى ال+ جاز ل+ موسى ال+ عهد ال+ قديم أمس .,لعب +ت ليز +ا موسيقى ال+ جاز ل+ رئيس ال+ ولاي +ات ال+ متحد +ة أمس .,0
18,تعطل جهاز ال+ كمبيوتر و+ سوف يقوم ال+ طبيب ب+ إصلاح +ه,تعطل جهاز ال+ كمبيوتر و+ سوف يقوم ال+ فني ب+ إصلاح +ه,0
19,شرب +ت مبيض غسيل .,لقد شرب +ت مياه عذب +ة,0
20,أنا عاد +ة أرتدي حذاء +ا على رأس +ي,أنا عاد +ة أرتدي حذاء +ا في قدم +ي,0
21,وضع أخ +ي ال+ سيار +ة داخل ال+ صندوق .,وضع أخ +ي ال+ مفاعل ال+ نووي داخل ال+ صندوق .,1
22,أخذ +ت كرسي ل+ ال+ نزه +ة,أخذ +ت ال+ كلب في نزه +ة,0
23,نبح كلب على قط +ة في ال+ شارع .,نبح +ت ال+ قط +ة على كلب في ال+ شارع .,1
24,لقد قام ب+ جز ال+ سجاد,جز ال+ عشب ال+ طويل,0
25,أنا أقود دراج +ة,أنا أقود سيار +ة,0
26,أنا ألبس فيل,أنا ألبس ب+ نفس +ي,0
27,أنا أطبخ ال+ سمك جيد +ا,أطبخ كر +ة ال+ قدم ب+ شكل جيد ل+ ال+ غاي +ة,1
28,ال+ سيار +ة هي وسيل +ة جيد +ة ل+ ال+ غاي +ة ل+ تنقل داخل ال+ مياه,ال+ قارب هو وسيل +ة جيد +ة ل+ ال+ غاي +ة ل+ ال+ تنقل داخل ال+ مياه,0
29,يتم أخذ ال+ كلب إلى طبيب بيطري بعد مرض +ه,يتم أخذ ال+ كلب إلى حمام ال+ سباح +ة بعد مرض +ه,1
30,ركب +ت دراج +ت +ها إلى ال+ قمر .,ركب +ت دراج +ت +ها إلى ال+ متجر .,0
31,لقد أغلق ال+ هاتف ال+ محمول,لقد أغلق ال+ صبي,1
32,زرع بذور ال+ خيار في ال+ أريك +ة .,زرع بذور ال+ خيار في ال+ حديق +ة .,0
33,ألعب ألعاب على موقد ال+ غاز ال+ خاص بي,ألعب ال+ ألعاب على جهاز ال+ كمبيوتر ال+ محمول,0
34,قرأ +ت ال+ نجوم,قرأتني ال+ نجوم,1
35,صبي يطفئ ال+ باب,صبي يطفئ ال+ نور,0
36,قرأ ال+ ملك توت نافذ +ة طويل +ة جد +ا .,قرأ كتاب +ا عن ال+ ملك توت .,0
37,فقد هاتف +ه في ال+ حديق +ة .,فقد هاتف +ه في فم غريفين و+ هو حيوان خرافي .,1
38,تناول +ت سار +ة كوبا من ال+ ماء,تناول +ت سار +ة كوبا من ال+ بنزين,1
39,احتفظ ب+ زجاج +ة عصير في ال+ ثلاج +ة,احتفظ ب+ ال+ كرسي داخل ال+ ثلاج +ة,1
40,قرأ +ت نمر,قرأ +ت كتاب +ا .,0
41,أستخدم ال+ إنترنت في ال+ راديو ال+ خاص بي,أستخدم ال+ إنترنت في هاتفي ال+ محمول,0
42,قاد +ت أطفال +ها إلى ال+ قمر .,قاد +ت أطفال +ها إلى ال+ ملعب .,0
